,image,score,features
0,/home/ubuntu/MEBeauty-database/images/male/indian/pexels-nishant-aneja-2561432.jpg,1.0,[[0.75679481 0.82327976 5.85255032 ... 3.79840554 0.65259662 0.78388701]]
1,/home/ubuntu/MEBeauty-database/images/male/asian/pexels-cottonbro-5529905.jpg,1.0,[[1.30027753 1.18416856 4.48328027 ... 1.81070901 1.18164453 1.5235938 ]]
2,/home/ubuntu/MEBeauty-database/images/female/caucasian/kuma-kum-GKbPbR0ZAT4-unsplash.jpg,1.0069204152249134,[[0.44022191 0.59957451 4.6938662  ... 2.12873818 0.52924979 0.44822796]]
3,/home/ubuntu/MEBeauty-database/images/female/indian/pexels-himesh-mehta-3059930.jpg,1.5,[[0.94364997 0.96592687 4.15795698 ... 3.76877691 0.77796799 1.08953922]]
4,/home/ubuntu/MEBeauty-database/images/male/caucasian/man-5917529_1920.jpg,1.625,[[1.04910976 1.03469501 5.62912457 ... 3.12807681 0.93028037 1.31560876]]
5,/home/ubuntu/MEBeauty-database/images/male/asian/pexels-chevanon-photography-2421934.jpg,1.75,[[0.92412183 0.94834884 5.29739821 ... 3.36802214 0.79751601 0.9486833 ]]
6,/home/ubuntu/MEBeauty-database/images/male/asian/pexels-kaniseeyapose-2751061.jpg,1.8888888888888888,[[1.56506612 1.3040086  3.95865822 ... 2.24425238 1.4064431  1.56081368]]
7,/home/ubuntu/MEBeauty-database/images/male/caucasian/gabe-pierce-cZ_RjozBNPM-unsplash.jpg,2.0,[[0.7033103  0.7855596  5.37880504 ... 2.87589924 0.55544222 0.6597515 ]]
8,/home/ubuntu/MEBeauty-database/images/male/caucasian/robert-harkness-MB_5XK9E7vM-unsplash.jpg,2.0,[[0.97905984 0.99491035 5.4721022  ... 4.17262368 1.06066017 0.98935914]]
9,/home/ubuntu/MEBeauty-database/images/female/caucasian/thoughtful-583373_1920.jpg,2.198224852071006,[[3.37824438 2.37781533 6.93354218 ... 1.99452707 2.14741681 4.17274067]]
10,/home/ubuntu/MEBeauty-database/images/female/indian/pexels-nandhu-kumar-2703082.jpg,2.2222222222222223,[[0.87951004 0.91260872 6.32013029 ... 3.26435292 0.72731669 1.09560948]]
11,/home/ubuntu/MEBeauty-database/images/male/indian/suranjan-koirala-95-3iy_pj2I-unsplash.jpg,2.333333333333333,[[0.81782339 0.87476387 4.95061696 ... 3.54889239 0.80169952 0.92863882]]
12,/home/ubuntu/MEBeauty-database/images/female/caucasian/elderly-1557141_1920.jpg,2.3456790123456788,[[1.18827606 1.1289315  6.23426426 ... 4.52216762 1.19220168 1.32412127]]
13,/home/ubuntu/MEBeauty-database/images/male/indian/swapnil-dwivedi-N2IJ31xZ_ks-unsplash.jpg,2.533909574468085,[[1.00620191 0.99656946 8.45290914 ... 2.86499235 1.09827762 1.2686517 ]]
14,/home/ubuntu/MEBeauty-database/images/male/asian/raphiell-alfaridzy-jagYILIMvxw-unsplash.jpg,2.6049382716049383,[[1.54967876 1.43020708 8.47968476 ... 6.87334723 2.27038305 1.86087185]]
15,/home/ubuntu/MEBeauty-database/images/female/asian/simon-marsault-jUyP2PcuBls-unsplash.jpg,2.6650666666666667,[[0.8017901  0.85546491 5.67300293 ... 2.00276817 0.69014316 1.13876488]]
16,/home/ubuntu/MEBeauty-database/images/male/mideastern/pexels-himesh-mehta-2880285.jpg,2.666666666666667,[[0.86441401 0.9003018  4.89371856 ... 6.78167562 0.79449126 0.88372376]]
17,/home/ubuntu/MEBeauty-database/images/female/indian/ursula-spaulding-_B_UiKIAo20-unsplash.jpg,2.6725925925925917,[[0.98876183 0.99604459 5.87268809 ... 3.98308739 0.92343847 1.12334149]]
18,/home/ubuntu/MEBeauty-database/images/male/mideastern/ashkan-forouzani-IZROIf9IO3I-unsplash.jpg,2.695238095238095,[[1.04767442 1.03597899 7.46797953 ... 6.61936553 0.96707454 1.04523739]]
19,/home/ubuntu/MEBeauty-database/images/male/mideastern/sadhu-1166066_1920.jpg,2.714821763602252,[[0.97877239 0.98173648 9.52411676 ... 4.4393319  0.9440493  1.04240667]]
20,/home/ubuntu/MEBeauty-database/images/male/asian/chander-mohan-9zaQ3PjrvxA-unsplash.jpg,2.717656415694592,[[1.53924691 1.38125785 7.09663752 ... 4.19290923 1.27330349 1.6142058 ]]
21,/home/ubuntu/MEBeauty-database/images/male/caucasian/charles-buchler-C6-GjBAOtZc-unsplash.jpg,2.800263678312459,[[0.92408049 0.93742244 6.38763546 ... 5.67176506 0.95644401 0.88082294]]
22,/home/ubuntu/MEBeauty-database/images/male/black/man-984217_1920.jpg,2.8023026315789474,[[1.06787075 1.05567273 5.96697699 ... 3.73508859 0.96033216 1.05947519]]
23,/home/ubuntu/MEBeauty-database/images/male/mideastern/lumensoft-technologies-JGGaefIIc6Y-unsplash.jpg,2.802391304347826,[[0.90878764 0.93677314 6.3258512  ... 3.89545422 0.80139704 0.89123425]]
24,/home/ubuntu/MEBeauty-database/images/male/asian/filipe-almeida-mnEWC72eWDM-unsplash.jpg,2.809333333333333,[[1.17792364 1.12330067 6.38581133 ... 3.11248307 0.92742434 1.28146173]]
25,/home/ubuntu/MEBeauty-database/images/male/black/pexels-kampus-production-5940858.jpg,2.875,[[1.0076355  1.00517806 7.58647739 ... 2.4631048  0.92389589 1.11235   ]]
26,/home/ubuntu/MEBeauty-database/images/male/black/pexels-ono-kosuki-5648108.jpg,2.875,[[0.73664737 0.80612656 6.05983906 ... 2.33421913 0.6065865  0.83717065]]
27,/home/ubuntu/MEBeauty-database/images/female/black/march-for-peace-1727917_1920.jpg,2.8846153846153846,[[0.97015371 0.98180564 4.15389067 ... 2.08106639 0.75967802 1.16243036]]
28,/home/ubuntu/MEBeauty-database/images/male/black/pexels-blac-bear-3805873.jpg,2.888888888888889,[[0.90601454 0.93440985 4.7023053  ... 1.56444662 0.99543625 0.91633625]]
29,/home/ubuntu/MEBeauty-database/images/female/asian/yannes-kiefer-VZfSq4TQTHY-unsplash.jpg,2.8941326530612237,[[0.92911691 0.94423893 6.48254253 ... 3.52165866 0.87841046 0.93321654]]
30,/home/ubuntu/MEBeauty-database/images/female/mideastern/qasim-sadiq-A4FN0SPut6w-unsplash.jpg,2.933333333333333,[[0.99824749 1.0019008  8.17628195 ... 4.00499688 0.97350522 1.05210725]]
31,/home/ubuntu/MEBeauty-database/images/male/black/sudanese-2895751_1920.jpg,2.9473684210526314,[[0.62576556 0.72755431 5.31238305 ... 2.71007558 0.64672995 0.70808385]]
32,/home/ubuntu/MEBeauty-database/images/male/indian/india-1129954_1920.jpg,2.9482323232323235,[[1.05862631 1.0424734  5.20887252 ... 6.72681202 0.98861289 1.09384848]]
33,/home/ubuntu/MEBeauty-database/images/female/asian/philippe-leone-ffrGEGb4Y58-unsplash.jpg,2.9563043478260878,[[1.12760298 1.07752544 4.54793135 ... 6.03091628 1.08127276 1.20896536]]
34,/home/ubuntu/MEBeauty-database/images/female/indian/anelale-najera--p_HZ1et98U-unsplash.jpg,2.9642857142857144,[[1.25343541 1.17421015 4.59466646 ... 4.03290767 1.19404463 1.22064382]]
35,/home/ubuntu/MEBeauty-database/images/female/caucasian/granny-1280445_1920.jpg,2.9667063020214037,[[0.85974041 0.90262273 5.38688261 ... 4.4562795  0.84497473 0.85664821]]
36,/home/ubuntu/MEBeauty-database/images/male/indian/pexels-yogendra-singh-5499219.jpg,3.0,[[0.95327637 0.96050452 6.51308238 ... 7.07106781 0.86165853 0.83077255]]
37,/home/ubuntu/MEBeauty-database/images/female/caucasian/girl-1763686_1920.jpg,3.0,[[1.60098598 1.35860142 4.86494358 ... 3.33160483 1.60846816 1.69304266]]
38,/home/ubuntu/MEBeauty-database/images/male/black/filipp-romanovskij-H4q-AEA02rY-unsplash.jpg,3.0,[[1.20840677 1.14292833 5.76355162 ... 2.0217996  1.18677693 1.13744882]]
